Channel,N,RMS_Mean,RMS_SD,RMS_CI_Low,RMS_CI_High,RMS_p_value,RMS_Cohens_d,RMS_Positive_%,MDF_Mean,MDF_SD,MDF_CI_Low,MDF_CI_High,MDF_p_value,MDF_Cohens_d,MDF_Negative_%
1,15,0.09196319576121083,0.07203100914292794,0.0520737524775671,0.13185263904485456,0.0002155623809843141,1.2767167481817774,93.33333333333333,-0.03248119082343682,0.05945926485651252,-0.0654086341759901,0.00044625252911646013,0.05277414944516325,-0.5462763608298999,60.0
2,15,0.07397278726290048,0.05620592691252824,0.042846982412198295,0.10509859211360266,0.0001625168240275964,1.316102968607249,93.33333333333333,-0.016852327707942663,0.03915473122118001,-0.03853549512316579,0.004830839707280467,0.11773087501490197,-0.4304033556697413,66.66666666666666
3,15,0.04746402632595845,0.088233265521806,-0.0013979274720095913,0.09632598012392649,0.056023074936056884,0.5379379992937944,73.33333333333333,-0.05995763594694072,0.0629674687344364,-0.09482785785113454,-0.025087414042746913,0.002435184261465944,-0.9522001940368674,86.66666666666667
4,15,0.05185876916319135,0.06089858777486768,0.018134255346101705,0.08558328298028099,0.0052824729431116615,0.851559470556278,80.0,-0.09554969095076044,0.04685524789345705,-0.1214972623596031,-0.06960211954191776,1.5895961144776324e-06,-2.0392527037318944,100.0
5,15,0.10877226081978421,0.08929330004881122,0.059323279467339236,0.1582212421722292,0.0003298650610396991,1.2181458268461913,100.0,-0.06619603213186095,0.06663300824996923,-0.10309616215963348,-0.02929590210408843,0.00177598452823906,-0.9934420472737927,86.66666666666667
6,15,0.09134054566231513,0.05204519887426877,0.06251887519867244,0.12016221612595782,8.636392399770443e-06,1.755023472635322,93.33333333333333,-0.05696298354052362,0.03749679620737651,-0.07772801714798827,-0.036197949933058964,3.979540785860421e-05,-1.5191426815637559,93.33333333333333
7,15,0.15037426238372903,0.12474644392341216,0.08129198436308649,0.21945654040437157,0.00036205501275591315,1.205439270686153,93.33333333333333,-0.051289441396393236,0.037551789133648227,-0.07208492907134381,-0.030493953721442663,0.0001142571275587649,-1.3658321635182864,93.33333333333333
8,15,0.09316610609668004,0.05564705260698469,0.06234979552044276,0.12398241667291732,1.438703487198822e-05,1.674232537609477,93.33333333333333,-0.03747019468944601,0.040147077077025355,-0.05970290492248469,-0.015237484456407338,0.0028149226590807827,-0.9333231063760001,73.33333333333333
