Channel,N,RMS_Mean,RMS_SD,RMS_CI_Low,RMS_CI_High,RMS_p_value,RMS_Cohens_d,RMS_Positive_%,MDF_Mean,MDF_SD,MDF_CI_Low,MDF_CI_High,MDF_p_value,MDF_Cohens_d,MDF_Negative_%,RMS_FDR_p,MDF_FDR_p,RMS_Significant_FDR,MDF_Significant_FDR,Both_Significant_FDR,Fatigue_Biomarker_Score
1,15,0.0919631957612108,0.0720310091429279,0.0520737524775671,0.1318526390448545,0.0002155623809843,1.2767167481817774,93.33333333333331,-0.0324811908234368,0.0594592648565125,-0.0654086341759901,0.0004462525291164,0.0527741494451632,-0.5462763608298999,60.0,0.0004927140136784,0.059757946598460586,True,False,False,1
2,15,0.0739727872629004,0.0562059269125282,0.0428469824121982,0.1050985921136026,0.0001625168240275,1.316102968607249,93.33333333333331,-0.0168523277079426,0.03915473122118,-0.0385354951231657,0.0048308397072804,0.1177308750149019,-0.4304033556697413,66.66666666666666,0.00043337819740666664,0.1177308750149019,True,False,False,1
3,15,0.0474640263259584,0.088233265521806,-0.0013979274720095,0.0963259801239264,0.0560230749360568,0.5379379992937944,73.33333333333333,-0.0599576359469407,0.0629674687344364,-0.0948278578511345,-0.0250874140427469,0.0024351842614659,-0.9522001940368674,86.66666666666667,0.059757946598460586,0.0035420861984958546,False,True,False,1
4,15,0.0518587691631913,0.0608985877748676,0.0181342553461017,0.0855832829802809,0.0052824729431116,0.851559470556278,80.0,-0.0955496909507604,0.046855247893457,-0.1214972623596031,-0.0696021195419177,1.5895961144776324e-06,-2.0392527037318944,100.0,0.006501505160752739,2.543353783164212e-05,True,True,True,2
5,15,0.1087722608197842,0.0892933000488112,0.0593232794673392,0.1582212421722292,0.0003298650610396,1.218145826846191,100.0,-0.0661960321318609,0.0666330082499692,-0.1030961621596334,-0.0292959021040884,0.001775984528239,-0.9934420472737928,86.66666666666667,0.0006436533560104889,0.0028415752451824003,True,True,True,2
6,15,0.0913405456623151,0.0520451988742687,0.0625188751986724,0.1201622161259578,8.636392399770443e-06,1.755023472635322,93.33333333333331,-0.0569629835405236,0.0374967962073765,-0.0777280171479882,-0.0361979499330589,3.979540785860421e-05,-1.519142681563756,93.33333333333331,6.909113919816354e-05,0.00015918163143441684,True,True,True,2
7,15,0.150374262383729,0.1247464439234121,0.0812919843630864,0.2194565404043715,0.0003620550127559,1.205439270686153,93.33333333333331,-0.0512894413963932,0.0375517891336482,-0.0720849290713438,-0.0304939537214426,0.0001142571275587,-1.3658321635182864,93.33333333333331,0.0006436533560104889,0.00036562280818784,True,True,True,2
8,15,0.09316610609668,0.0556470526069846,0.0623497955204427,0.1239824166729173,1.438703487198822e-05,1.674232537609477,93.33333333333331,-0.037470194689446,0.0401470770770253,-0.0597029049224846,-0.0152374844564073,0.0028149226590807,-0.933323106376,73.33333333333333,7.673085265060384e-05,0.0037532302121076,True,True,True,2
