Channel_Num,Mean_RMS_Slope,Mean_RMS_R2,Mean_MDF_Slope,Mean_MDF_R2,RMS_Positive_Count,MDF_Negative_Count,Total_Subjects,RMS_Positive_%,MDF_Negative_%
1,0.09196319576121084,0.45716832332012225,-0.03248119082343682,0.08536448835883424,14,9,15,93.33333333333333,60.0
2,0.07397278726290049,0.448858104040822,-0.016852327707942663,0.04396348981874465,14,10,15,93.33333333333333,66.66666666666666
3,0.04746402632595845,0.3563960035534873,-0.05995763594694073,0.14937888388445467,11,13,15,73.33333333333333,86.66666666666667
4,0.05185876916319135,0.3231253917818986,-0.09554969095076045,0.19616549012937728,12,15,15,80.0,100.0
5,0.10877226081978421,0.5537296873168595,-0.06619603213186097,0.19234364880705254,15,13,15,100.0,86.66666666666667
6,0.09134054566231513,0.36914088999070055,-0.056962983540523614,0.119917516773614,14,14,15,93.33333333333333,93.33333333333333
7,0.15037426238372906,0.5020549383109306,-0.051289441396393236,0.09861631972729747,14,14,15,93.33333333333333,93.33333333333333
8,0.09316610609668004,0.4183223580299934,-0.03747019468944601,0.07243112551003346,14,11,15,93.33333333333333,73.33333333333333
