Subject,Filename,Channel,RMS_Slope,RMS_R2,MDF_Slope,MDF_R2,RMS_Expected,MDF_Expected,RMS_Abs_Slope,MDF_Abs_Slope
1,sub1.txt,1,0.043363164540196716,0.16760124271627708,-0.02892909229807625,0.02599317311851005,True,True,0.043363164540196716,0.02892909229807625
1,sub1.txt,2,0.06402673482058409,0.5468815344891618,-0.026918536009445097,0.021559451228635902,True,True,0.06402673482058409,0.026918536009445097
1,sub1.txt,3,-0.10778924110922276,0.5261497717630528,0.09169734009306202,0.0902073211574194,False,False,0.10778924110922276,0.09169734009306202
1,sub1.txt,4,0.006774717572414792,0.04003250234025906,-0.16033752343912772,0.3294667247441859,True,True,0.006774717572414792,0.16033752343912772
1,sub1.txt,5,0.04411262797259358,0.378339653381224,-0.1436210847975554,0.3972630244120511,True,True,0.04411262797259358,0.1436210847975554
1,sub1.txt,6,0.1171768710732759,0.49048536738868354,-0.12242864087783875,0.28707577653805794,True,True,0.1171768710732759,0.12242864087783875
1,sub1.txt,7,0.049457048613447366,0.19609558041229797,-0.1289360372248073,0.3416442848361354,True,True,0.049457048613447366,0.1289360372248073
1,sub1.txt,8,0.02372800400227822,0.05995712232333441,-0.031745260087506076,0.026070977360816577,True,True,0.02372800400227822,0.031745260087506076
2,sub10.txt,1,0.3033018365551257,0.8237813860110955,-0.13811028543648862,0.38100787481596354,True,True,0.3033018365551257,0.13811028543648862
2,sub10.txt,2,0.304710367334114,0.6512937592012709,-0.09335370511841098,0.2039362452385231,True,True,0.304710367334114,0.09335370511841098
2,sub10.txt,3,0.3046863379636611,0.3967130954974454,-0.15976456698381833,0.39223638758066187,True,True,0.3046863379636611,0.15976456698381833
2,sub10.txt,4,0.22815341768341976,0.32208356344662836,-0.18706854642683518,0.3990916821461682,True,True,0.22815341768341976,0.18706854642683518
2,sub10.txt,5,0.32123214330270605,0.5789770879392245,-0.12131745260087506,0.40684148802152426,True,True,0.32123214330270605,0.12131745260087506
2,sub10.txt,6,0.06143241100130622,0.16685578078475383,-0.09823598861032015,0.28985955503413635,True,True,0.06143241100130622,0.09823598861032015
2,sub10.txt,7,0.2976680161555504,0.7527017040444308,-0.15412875894159314,0.42747269976890107,True,True,0.2976680161555504,0.15412875894159314
2,sub10.txt,8,0.13600807614486812,0.5883162247365326,-0.159219390235433,0.41797072590401535,True,True,0.13600807614486812,0.159219390235433
3,sub11.txt,1,0.04168051176443818,0.09831517331452545,-0.06551843878047085,0.12770768768138116,True,True,0.04168051176443818,0.06551843878047085
3,sub11.txt,2,0.10832063560280118,0.6055576425521222,0.01586915758038753,0.014438186877993808,True,False,0.10832063560280118,0.01586915758038753
3,sub11.txt,3,0.003483891709973566,0.0128055764471937,-0.09519063823876656,0.13898161882441154,True,True,0.003483891709973566,0.09519063823876656
3,sub11.txt,4,0.08647972354122135,0.5589953694434422,-0.08181123689145081,0.16843041383603674,True,True,0.08647972354122135,0.08181123689145081
3,sub11.txt,5,0.04999040137195525,0.16418830424016495,0.0006007361622334884,1.1395231059060167e-05,True,False,0.04999040137195525,0.0006007361622334884
3,sub11.txt,6,0.07581888701480041,0.08827023191142012,-0.007167164386415724,0.002903212170499285,True,True,0.07581888701480041,0.007167164386415724
3,sub11.txt,7,0.09367879606312998,0.3674045616781011,-0.11227863046044863,0.18621407732765521,True,True,0.09367879606312998,0.11227863046044863
3,sub11.txt,8,0.11067545391162757,0.5189001001883453,-0.09235016320577814,0.17423776208998085,True,True,0.11067545391162757,0.09235016320577814
4,sub12.txt,1,0.0872144168594405,0.4992097104033751,0.02304326689353427,0.030657009403793165,True,False,0.0872144168594405,0.02304326689353427
4,sub12.txt,2,0.06005317889197089,0.6755688800053667,-0.01555663587749149,0.01164097290730288,True,True,0.06005317889197089,0.01555663587749149
4,sub12.txt,3,0.1678614822726725,0.7108758843155265,-0.17402250156260854,0.39370267734707254,True,True,0.1678614822726725,0.17402250156260854
4,sub12.txt,4,0.013104129962532825,0.11695304456628894,-0.17696715049656225,0.3532898299482974,True,True,0.013104129962532825,0.17696715049656225
4,sub12.txt,5,0.05955798450353323,0.6910422413817112,-0.046812278630460454,0.15317944299361322,True,True,0.05955798450353323,0.046812278630460454
4,sub12.txt,6,0.17525288940884043,0.7327518103696796,-0.0937183137717897,0.18753831010330785,True,True,0.17525288940884043,0.0937183137717897
4,sub12.txt,7,0.3413103327243991,0.9561371530708608,-0.02958191541079241,0.020482071659240042,True,True,0.3413103327243991,0.02958191541079241
4,sub12.txt,8,0.09216503926765168,0.5122605087467031,0.02292520313910688,0.029247176992499152,True,False,0.09216503926765168,0.02292520313910688
5,sub13.txt,1,0.028193623162929324,0.04704456988082326,-0.22041808458920759,0.562634547133377,True,True,0.028193623162929324,0.22041808458920759
5,sub13.txt,2,0.108932749672399,0.5352596045711843,-0.027442877977637333,0.017234325816577693,True,True,0.108932749672399,0.027442877977637333
5,sub13.txt,3,0.14411708514369495,0.5678485339478717,-0.1847419959719425,0.6273095155944381,True,True,0.14411708514369495,0.1847419959719425
5,sub13.txt,4,0.06983771672214527,0.3838292877685885,-0.14490589624279462,0.38852651357505186,True,True,0.06983771672214527,0.14490589624279462
5,sub13.txt,5,0.02627988383166489,0.1643747826664218,-0.12593235641363976,0.3337536603289302,True,True,0.02627988383166489,0.12593235641363976
5,sub13.txt,6,0.10419082182916001,0.6597716379621287,-0.11373012014723241,0.2825153001498315,True,True,0.10419082182916001,0.11373012014723241
5,sub13.txt,7,0.21834936651695216,0.790346683143214,-0.037117160913952355,0.04739417561546298,True,True,0.21834936651695216,0.037117160913952355
5,sub13.txt,8,0.13133524102455768,0.4919443627354797,-0.09883672477255366,0.23999263752589042,True,True,0.13133524102455768,0.09883672477255366
6,sub14.txt,1,0.05316422273985003,0.19691672062149185,-0.10375720536148343,0.15003267994482136,True,True,0.05316422273985003,0.10375720536148343
6,sub14.txt,2,0.11751545283270884,0.5762909322379545,-0.001892492534203766,5.4017834598106386e-05,True,True,0.11751545283270884,0.001892492534203766
6,sub14.txt,3,-0.06781715791537316,0.19362701433398308,0.12459198555455239,0.07666418947785675,False,False,0.06781715791537316,0.12459198555455239
6,sub14.txt,4,-0.03341874864938473,0.10569328399586629,-0.05457323425237864,0.08613480344574011,False,True,0.03341874864938473,0.05457323425237864
6,sub14.txt,5,0.09460488427639957,0.3731258280741054,-0.14255851100770883,0.2106569259504322,True,True,0.09460488427639957,0.14255851100770883
6,sub14.txt,6,0.08769314316707238,0.3197273330931631,-0.11408778387388013,0.1522443208922726,True,True,0.08769314316707238,0.11408778387388013
6,sub14.txt,7,0.18735956330876244,0.6811976201551714,-0.11127508854781581,0.20290432731101937,True,True,0.18735956330876244,0.11127508854781581
6,sub14.txt,8,0.007597705221438617,0.003511198172294863,-0.06466768525592055,0.06546145030467569,True,True,0.007597705221438617,0.06466768525592055
