Final_Rank,Channel,Label,RMS_Mean,MDF_Mean,RMS_Cohens_d,MDF_Cohens_d,RMS_FDR_p,MDF_FDR_p,RMS_Positive_%,MDF_Negative_%,Fatigue_Biomarker_Score,Significance,Fatigue_Direction
1,6,Channel 6,0.0913405456623151,-0.0569629835405236,1.755023472635322,-1.519142681563756,6.909113919816354e-05,0.0001591816314344,93.33333333333331,93.33333333333331,2,Both RMS + MDF,Expected: RMS ↑ + MDF ↓
2,8,Channel 8,0.09316610609668,-0.037470194689446,1.674232537609477,-0.933323106376,7.673085265060384e-05,0.0037532302121076,93.33333333333331,73.33333333333333,2,Both RMS + MDF,Expected: RMS ↑ + MDF ↓
3,7,Channel 7,0.150374262383729,-0.0512894413963932,1.205439270686153,-1.3658321635182864,0.0006436533560104,0.0003656228081878,93.33333333333331,93.33333333333331,2,Both RMS + MDF,Expected: RMS ↑ + MDF ↓
4,5,Channel 5,0.1087722608197842,-0.0661960321318609,1.218145826846191,-0.9934420472737928,0.0006436533560104,0.0028415752451824,100.0,86.66666666666667,2,Both RMS + MDF,Expected: RMS ↑ + MDF ↓
5,4,Pronator Teres (Ch 4),0.0518587691631913,-0.0955496909507604,0.851559470556278,-2.0392527037318944,0.0065015051607527,2.543353783164212e-05,80.0,100.0,2,Both RMS + MDF,Expected: RMS ↑ + MDF ↓
6,2,Channel 2,0.0739727872629004,-0.0168523277079426,1.316102968607249,-0.4304033556697413,0.0004333781974066,0.1177308750149019,93.33333333333331,66.66666666666666,1,RMS only,Expected: RMS ↑ + MDF ↓
7,1,Channel 1,0.0919631957612108,-0.0324811908234368,1.2767167481817774,-0.5462763608298999,0.0004927140136784,0.0597579465984605,93.33333333333331,60.0,1,RMS only,Expected: RMS ↑ + MDF ↓
8,3,Channel 3,0.0474640263259584,-0.0599576359469407,0.5379379992937944,-0.9522001940368674,0.0597579465984605,0.0035420861984958,73.33333333333333,86.66666666666667,1,MDF only,Expected: RMS ↑ + MDF ↓
